runtime,nr. points,bytes,time taken,mbs,ps
101562125978,10000,161640,0.005572677,28.711515129981517,1794469.6956238449
101579163280,10000,161640,0.005609541,28.522832795054,1782677.049690875
101596202654,10000,161640,0.005673781,28.199889985179194,1762493.1240736996
101613498080,10000,161640,0.005558916,28.782589986968684,1798911.8741855428
101630486338,10000,161640,0.005673703,28.200277666983975,1762517.3541864986
101647714496,10000,161640,0.005800921,27.581827092628917,1723864.1932893072
101665320878,10000,161640,0.005727074,27.937477322625828,1746092.3326641142
101682823528,10000,161640,0.005639416,28.371732108431083,1773233.2567769426
101699946238,10000,161640,0.005736336,27.89236892678532,1743273.0579240825
101717381602,10000,161640,0.005595191,28.59598537386838,1787249.0858667737
101734462776,10000,161640,0.005724178,27.95161156763469,1746975.7229771682
101751838496,10000,161640,0.005720208,27.971010844360904,1748188.1777725564
101769211642,10000,161640,0.005608292,28.52918499963982,1783074.0624774888
101786359264,10000,161640,0.005565787,28.74705769372777,1796691.1058579856
101803263006,10000,161640,0.005812395,27.52737898921185,1720461.1868257406
101820924636,10000,161640,0.005729761,27.924375903288116,1745273.4939555072
101838403008,10000,161640,0.00551901,28.99070666659419,1811919.1666621368
101855163848,10000,161640,0.00567561,28.190802398332515,1761925.1498957821
101872394666,10000,161640,0.005660773,28.26469105897728,1766543.19118608
101889695956,10000,161640,0.005691576,28.11172160399861,1756982.600249913
101906974856,10000,161640,0.00581744,27.50350669710388,1718969.1685689925
101924652636,10000,161640,0.006159951,25.974232587239737,1623389.5367024834
101943420688,10000,161640,0.005981355,26.74979164420102,1671861.9777625639
101961567826,10000,161640,0.006291254,25.43213165451594,1589508.228407246
101980641698,10000,161640,0.007084872,22.583329663542262,1411458.1039713915
102002210214,10000,161640,0.005993905,26.69378310133377,1668361.4438333607
102020396436,10000,161640,0.006229396,25.684673120796944,1605292.070049809
102039306500,10000,161640,0.006031578,26.52705477737335,1657940.9235858344
102057696314,10000,161640,0.005679179,28.173086285887447,1760817.8928679654
102074936582,10000,161640,0.005781498,27.6744885149143,1729655.5321821438
102092483830,10000,161640,0.005631882,28.40968614044115,1775605.3837775718
102109697962,10000,161640,0.005478871,29.20309676938917,1825193.5480868232
102126341284,10000,161640,0.005871143,27.251933737604418,1703245.858600276
102144179212,10000,161640,0.005675034,28.193663685539153,1762103.980346197
102161496900,10000,161640,0.005481255,29.190395265317886,1824399.704082368
102178144476,10000,161640,0.005753755,27.807927171038738,1737995.4481899212
102195607666,10000,161640,0.005679569,28.171151719435052,1760696.9824646907
102212965644,10000,161640,0.005741992,27.864894273624905,1741555.8921015565
102230397152,10000,161640,0.005673117,28.203190591697652,1762699.4119811032
102247640288,10000,161640,0.005710851,28.01684022223658,1751052.5138897863
102265067404,10000,161640,0.005650044,28.318363538407844,1769897.7211504902
102282222176,10000,161640,0.005854585,27.329007948471155,1708062.9967794472
102299987734,10000,161640,0.005573064,28.709521369214492,1794345.0855759059
102317028580,10000,161640,0.005557264,28.791146146736953,1799446.6341710596
102333907278,10000,161640,0.005811394,27.532120520480973,1720757.5325300607
102351567476,10000,161640,0.005693269,28.10336205789679,1756460.1286185493
102368939022,10000,161640,0.005614266,28.498827807588743,1781176.7379742963
102385985636,10000,161640,0.005735427,27.896789550281085,1743549.3468925678
102403395532,10000,161640,0.005703962,28.05067775696963,1753167.359810602
102420827542,10000,161640,0.005610056,28.52021441497197,1782513.4009357481
102437862390,10000,161640,0.005825302,27.4663871504001,1716649.1969000062
102455562882,10000,161640,0.005752314,27.814893275992933,1738430.8297495584
102473112400,10000,161640,0.005578569,28.68119046300225,1792574.4039376406
102490053150,10000,161640,0.00571083,28.016943246428276,1751058.9529017673
102507389244,10000,161640,0.00565669,28.28509251876981,1767818.2824231132
102524669146,10000,161640,0.005704257,28.049227094782022,1753076.6934238763
102541986960,10000,161640,0.005741108,27.86918483331092,1741824.0520819325
102559436144,10000,161640,0.00565853,28.27589497625708,1767243.4360160676
102576705678,10000,161640,0.005591086,28.616980672448964,1788561.2920280602
102593682418,10000,161640,0.005806587,27.554913066832547,1722182.0666770341
102611304076,10000,161640,0.005647842,28.32940439906074,1770587.774941296
102628566064,10000,161640,0.005563641,28.758145969518882,1797384.12309493
