runtime,nr. points,bytes,time taken,mbs,ps
113980597158,10000,161640,0.024375606,6.563939374471346,410246.2109044591
114034907784,10000,161640,0.025060914,6.384443919323933,399027.7449577458
114090561070,10000,161640,0.024356257,6.569153872863142,410572.11705394636
114144966354,10000,161640,0.024187427,6.615007044775783,413437.94029848644
114200491418,10000,161640,0.024468295,6.539074340897066,408692.14630606666
114254824136,10000,161640,0.02531875,6.319427301900765,394964.2063687978
114311363382,10000,161640,0.025252311,6.336053757614501,396003.3598509063
114367567372,10000,161640,0.024022114,6.660529543736242,416283.0964835151
114420932034,10000,161640,0.024348444,6.5712618021915485,410703.8626369718
114475335876,10000,161640,0.025012852,6.396711578511718,399794.4736569824
114531059942,10000,161640,0.025949514,6.165818750979305,385363.6719362066
114588666436,10000,161640,0.025642786,6.23957162844942,389973.2267780888
114645901574,10000,161640,0.024061332,6.649673426225946,415604.58913912164
114699487422,10000,161640,0.0237971,6.7235083266448425,420219.27041530266
114752337840,10000,161640,0.025555306,6.2609307045667935,391308.1690354246
114809381866,10000,161640,0.024201201,6.611242144553074,413202.63403456716
114863296316,10000,161640,0.023816607,6.718001434881131,419875.0896800707
114916189824,10000,161640,0.025310448,6.321500117263827,395093.7573289892
114972685470,10000,161640,0.024457047,6.54208171575252,408880.1072345325
115027160002,10000,161640,0.025204434,6.348089387764073,396755.58673525456
115083124734,10000,161640,0.024256127,6.596271531724748,412266.9707327967
115137300244,10000,161640,0.023955328,6.679098695705607,417443.6684816004
115190718708,10000,161640,0.024676872,6.4838039440331015,405237.7465020688
115245505630,10000,161640,0.025090331,6.376958518402966,398559.90740018536
115301470212,10000,161640,0.024138345,6.628457750521008,414278.609407563
115355228872,10000,161640,0.025158954,6.359564869032313,397472.80431451957
115411103360,10000,161640,0.025284888,6.327890398407144,395493.1499004465
115467501104,10000,161640,0.025213887,6.34570941005645,396606.83812852815
115523620456,10000,161640,0.024057218,6.6508105800097095,415675.6612506068
115577192126,10000,161640,0.024438406,6.547071850758187,409191.9906723867
115631772092,10000,161640,0.024947789,6.413393988541429,400837.1242838393
115687307254,10000,161640,0.023637318,6.7689574595561135,423059.8412222571
115739807760,10000,161640,0.026517641,6.033719213560512,377107.450847532
115798968156,10000,161640,0.023917635,6.689624622166866,418101.5388854291
115852227658,10000,161640,0.023848742,6.7089492603006065,419309.3287687879
115905278678,10000,161640,0.026312828,6.080684295887922,380042.7684929951
115963677720,10000,161640,0.023962442,6.6771157964618135,417319.7372788633
116017048386,10000,161640,0.023988209,6.6699435543520575,416871.4721470036
116070319208,10000,161640,0.02745807,5.827066505402601,364191.6565876626
116131277492,10000,161640,0.024066134,6.648346593599122,415521.6620999451
116184880164,10000,161640,0.024940589,6.415245445887425,400952.84036796406
116240275630,10000,161640,0.025394559,6.300562258238074,393785.1411398796
116296616606,10000,161640,0.024049239,6.65301717031462,415813.57314466377
116350245188,10000,161640,0.023750235,6.736775446642948,421048.46541518427
116403040096,10000,161640,0.027838833,5.747367355520973,359210.4597200608
